,markdown_content,preprocessed_markdown
2193,['### Takeaways from this section'],takeaway section
2194,"[""* Overfitting is when a model's accuracy is significantly higher on the training data than the testing data.\n"", '* Overfitting can also happen when one fits the private test data significantly worse than the public test data.\n', '* When a model overfits, it tends to memorize the data instead of understanding patterns in the data.']",overfit model accuraci significantli higher train data test data overfit also happen one fit privat test data significantli wors public test data model overfit tend memor data instead understand pattern data
2195,['# How can we identify overfitting?'],identifi overfit
2196,"['Overfitting is a fairly simple concept to understand, but understanding how to identify and correct overfitting are very difficult tasks. A data scientist can get better at these things only by continuous practice. But, I can give some tips regarding how you can identify if your model is overfitting or not.']",overfit fairli simpl concept understand understand identifi correct overfit difficult task data scientist get better thing continu practic give tip regard identifi model overfit
2197,['## Validation'],valid
2198,"[""Validation is a way of checking how your model performs on new, unseen data. In validation, one samples a small percentage of the data points in the training data (usually around 20%) and sets in aside. The remaining samples are used to train the model and the chosen samples are used to evaluate the model. After each iteration of training, the model's performance is evaluated on this validation data to check how the model performs on data that it has never seen before.\n"", '\n', 'Note that the validation samples need to be selected randomly so that the validation score actually reflects how well the model may do on unseen data (*i.e.* the public and private testing datasets).']",valid way check model perform new unseen data valid one sampl small percentag data point train data usual around 20 set asid remain sampl use train model chosen sampl use evalu model iter train model perform evalu valid data check model perform data never seen note valid sampl need select randomli valid score actual reflect well model may unseen data e public privat test dataset
2199,['### Demonstration'],demonstr
2200,"['Now, I will demonstrate how you can add validation to a neural network model.']",demonstr add valid neural network model
2201,['### Build neural network'],build neural network
2202,['### Visualize the model architecture'],visual model architectur
2203,['### Split the data into training and validation sets'],split data train valid set
2204,['### Train the model'],train model
2205,['### Plot the loss and accuracy statistics '],plot loss accuraci statist
2206,['### Accuracy'],accuraci
2207,"['In the plot above, we can see how the validation and training accuracies are changing. The training accuracy ends up just above the validation accuracy at the last epoch. This shows that the model is learning well because the gap between the training and validation accuracies is small. This means that the data performs at almost the same level on unseen data. In this way, we can use validation to check whether our model is overfitting or not.']",plot see valid train accuraci chang train accuraci end valid accuraci last epoch show model learn well gap train valid accuraci small mean data perform almost level unseen data way use valid check whether model overfit
2208,"['We can see the same insight in the bar plot above. The training accuracy is initially lower than the validation accuracy, but it eventually catches up, and ends up just above the validation accuracy at the end. This is a sign of a model that is not overfitting (training accuracy only just above validation accuracy).']",see insight bar plot train accuraci initi lower valid accuraci eventu catch end valid accuraci end sign model overfit train accuraci valid accuraci
2209,['### Loss'],loss
2210,"['In the plot above, we can see how the validation and training losses are changing. The losses end up in close proximity towards the last few epochs. This shows that the training and validation losses are both decreasing together in sync with each other. Once again, it is an indication that there is no clear overfitting.']",plot see valid train loss chang loss end close proxim toward last epoch show train valid loss decreas togeth sync indic clear overfit
2211,['We can observe the same insight from the bar plot above. The losses get closer and closer to each other as the epochs increase. This is a sign of healthy training without overfitting.'],observ insight bar plot loss get closer closer epoch increas sign healthi train without overfit
2212,['### Cross validation'],cross valid
2213,"['Cross validation is a special type of validation that makes use of the entire training data to evaluate the model properly, so that as much randomness as possible can be introduced. In cross validation, the training dataset is divided into a certain number of **folds**. These folds are subsets of the original training data. Each fold has an equal number of randomly selected data samples. \n', '\n', 'One fold is selected and set aside. The remaining folds are used to train the model, and the selected fold is used to evaluate the performance of the model at each iteration. Now, the next fold is selected and the same process repeats. We repeat this process until each fold has acted as a validation set once. \n', '\n', 'This process is called **cross-validation**. Cross validation is helpful because the entire training dataset is being used to validate the model. This means that we are introducing more randomness and variety into our validation set instead of restricting ourselves to one fixed validation set. **This gives a more reliable idea of how the model would perform on real testing data.**']",cross valid special type valid make use entir train data evalu model properli much random possibl introduc cross valid train dataset divid certain number fold fold subset origin train data fold equal number randomli select data sampl one fold select set asid remain fold use train model select fold use evalu perform model iter next fold select process repeat repeat process fold act valid set process call cross valid cross valid help entir train dataset use valid model mean introduc random varieti valid set instead restrict one fix valid set give reliabl idea model would perform real test data
2214,['### Types of cross validation'],type cross valid
2215,['There are many types of cross validation that are used for different types of data. Here are a few common types of cross validation:'],mani type cross valid use differ type data common type cross valid
2216,"['* **Time-series split** : For data with a time dimension\n', '* **Stratified K-Fold** : For data with a categorical target (like this competition)\n', '* **K-Fold** : For data with a continuous target']",time seri split data time dimens stratifi k fold data categor target like competit k fold data continu target
2217,"['Cross validation is a very good way to diagnose overfitting. In fact, the gap between your cross validation score and public LB score can be used as a way to determine whether your model is overfitting or not. So, **looking at only the public LB score or only the cross validation score may not be that useful, but looking at them together will give a clearer picture**.\n', '\n', 'Let me illustrate this point with a simple example. Assume that the statistics given below are the accuracy scores for two different models. The first row corresponds to the first and the second one to the second model.']",cross valid good way diagnos overfit fact gap cross valid score public lb score use way determin whether model overfit look public lb score cross valid score may use look togeth give clearer pictur let illustr point simpl exampl assum statist given accuraci score two differ model first row correspond first second one second model
2218,"['|        | Public LB Score   |  Cross Validation Score    |\n', '| ------ | ------ |------|\n', '|Model 1 | 97 %  |  97.5 %    |\n', '| Model 2 | 97.5 % | 99 %']",public lb score cross valid score model 1 97 97 5 model 2 97 5 99
2219,"['From the above table of scores, it may look like model 2 is a better choice for private LB submission because it has a higher CV and public LB score as compared to model 2. But, this is actually a misleading illusion.\n', '\n', 'If you look at the numbers closely, the error percentage in model 1 is 2.5% for cross validation and 3% for public LB. These error percentages are somewhat similar. But, if you look at the error percentages in model 2, they are 1% for cross validation and 2.5% for public LB. This is a comparatively massive gap between the CV and public LB scores. The public LB error percentage for model 2 is 2.5 times larger than the cross validation error. This shows that model 2 is overfitting to the cross validation data, and is not improving much on its test data performance. So, model 1 is more likely to perform better on a new private test dataset because it has very good CV and LB accuracies, and at the same, the gap between CV and LB is not very large. To summarize, **never go for a very small increase in LB score when the increase in CV score is very large, because this may lead to overfitting**.\n', '\n', 'So, look for an increase in CV score, but make sure that the gap between CV and LB remains small. This idea is excellently explained by [@cpmpml](https://kaggle.com/cpmpml) in his talk at Kaggle days:']",tabl score may look like model 2 better choic privat lb submiss higher cv public lb score compar model 2 actual mislead illus look number close error percentag model 1 2 5 cross valid 3 public lb error percentag somewhat similar look error percentag model 2 1 cross valid 2 5 public lb compar massiv gap cv public lb score public lb error percentag model 2 2 5 time larger cross valid error show model 2 overfit cross valid data improv much test data perform model 1 like perform better new privat test dataset good cv lb accuraci gap cv lb larg summar never go small increas lb score increas cv score larg may lead overfit look increas cv score make sure gap cv lb remain small idea excel explain cpmpml http kaggl com cpmpml talk kaggl day
2220,['### Resources for understanding validation'],resourc understand valid
2221,"['* [About Train, Validation and Test Sets in Machine Learning](https://towardsdatascience.com/train-validation-and-test-sets-72cb40cba9e7) ~ by Tarang Shah\n', '* [What is the Difference Between Test and Validation Datasets?](https://machinelearningmastery.com/difference-test-validation-datasets/) ~ by Machine Learning Mastery\n', '* [Cross-Validation in Machine Learning](https://towardsdatascience.com/cross-validation-in-machine-learning-72924a69872f) ~ by Prashant Gupta\n', '* [A Gentle Introduction to k-fold Cross-Validation](https://machinelearningmastery.com/k-fold-cross-validation/) ~ by Machine Learning Mastery']",train valid test set machin learn http towardsdatasci com train valid test set 72cb40cba9e7 tarang shah differ test valid dataset http machinelearningmasteri com differ test valid dataset machin learn masteri cross valid machin learn http towardsdatasci com cross valid machin learn 72924a69872f prashant gupta gentl introduct k fold cross valid http machinelearningmasteri com k fold cross valid machin learn masteri
2222,['### Takeaways from this section'],takeaway section
2223,"['* Always create a robust and reliable validation system for your models.\n', '* When choosing which models to submit to the private LB, look at the CV and public LB scores together.\n', '* The gap between CV and public LB scores should be as small as possible, and never go far a change that shows a huge improvement in CV, but a relatively small improvement in public LB.']",alway creat robust reliabl valid system model choos model submit privat lb look cv public lb score togeth gap cv public lb score small possibl never go far chang show huge improv cv rel small improv public lb
2224,['# How to reduce overfitting?'],reduc overfit
2225,"['Now, because we understand how validation can be used to detect overfitting, the next step is to understand how to fix overfitting. There are many ways to reduce overfitting, but the most most common ones are as follows:']",understand valid use detect overfit next step understand fix overfit mani way reduc overfit common one follow
2226,"['* **Reducing model complexity**\n', '* **Ensembling**\n', '* **Regularization**']",reduc model complex ensembl regular
2227,"['I will look at these differrent methods one-by-one, explain them, and then demonstrate how they work with a simple neural network model.']",look differr method one one explain demonstr work simpl neural network model
2228,['## Reducing model complexity'],reduc model complex
2229,"['In the above diagram, the data can be easily modeled using a simple linear function. This is because the general trend in the data seems to be linear. But, instead, a highe degree polynomial is used and the data is fit perfectly without any error. This model may achieve 100% accuracy on the training data, but it will surely fail badly when tested on new data. This is because the model has **fitted the noise** in the training data, and in the process, it memorizes the data instead of finding the required pattern. Therefore, an overly complex model may lead to overfitting. But, at the same time, an overly simple model may lead to underfitting.\n', '\n', 'So, when a model starts overfitting, one way to reduce the overfitting is to reduce the complexity of the model. In a neural network, this can be done by reducing the number of layers in the network or reducing the number of neurons in the each layer. This can also be done for a gradient boosting model like LightGBM by reducing paramters like *max_depth*. By doing this, we are intentionally, reducing the complexity of the model in order to prevent overfitting from taking place.']",diagram data easili model use simpl linear function gener trend data seem linear instead high degre polynomi use data fit perfectli without error model may achiev 100 accuraci train data sure fail badli test new data model fit nois train data process memor data instead find requir pattern therefor overli complex model may lead overfit time overli simpl model may lead underfit model start overfit one way reduc overfit reduc complex model neural network done reduc number layer network reduc number neuron layer also done gradient boost model like lightgbm reduc paramt like max depth intent reduc complex model order prevent overfit take place
2230,"['<center><img src=""https://i.imgur.com/k6ZQvak.png"" width=""800px""></center>']",center img src http imgur com k6zqvak png width 800px center
2231,"['The idea that reducing model complexity can reduce overfitting can be understood using the concepts of **variance and bias**.\n', '\n', '**Variance** is the amount that the estimate of the model will change if different training data was used. This quantity measures the capacity of a model to fit different datasets, and is therefore also a measure of the complexity of the model. A high variance means that the model has a very complex target function and is able to fit the training data very accurately. On the other hand, a low variance means that the model has a low level of complexity and is therefore unable to fit the training very closely. It may look like the more the variance the better, but in fact, the variance of any model should be moderate, and the ""moderate"" level of variance depends on the nature of the data. Some datasets demand models with a high variance whereas other datasets require a much lower level of variance. For example, the MNIST dataset can be modeled easily using a simple CNN, but a self-driving car dataset involving complex video and sensor data may require a more complex (high variance) model.\n', '\n', 'This brings me to the concept of bias. **Bias** are the simplifying assumptions made by a model to make the target function easier to learn.  This quantity measures the simplicity of the model, because simpler models often tend to make more assumptions to fit the data. A high bias means that the model has a simple target function and is therefore unable to fit the training very closely. On the other hand, a low bias means that the model has a high level of complexity and is therefore able to fit the training very closely.\n', '\n', '**Models with a high variance tend to have a low bias and vice-versa, and therefore, there is a direct tradeoff between them**. Choosing the correct balance of variance and bias (for a particular dataset) is the key to avoiding overfitting.']",idea reduc model complex reduc overfit understood use concept varianc bia varianc amount estim model chang differ train data use quantiti measur capac model fit differ dataset therefor also measur complex model high varianc mean model complex target function abl fit train data accur hand low varianc mean model low level complex therefor unabl fit train close may look like varianc better fact varianc model moder moder level varianc depend natur data dataset demand model high varianc wherea dataset requir much lower level varianc exampl mnist dataset model easili use simpl cnn self drive car dataset involv complex video sensor data may requir complex high varianc model bring concept bia bia simplifi assumpt made model make target function easier learn quantiti measur simplic model simpler model often tend make assumpt fit data high bia mean model simpl target function therefor unabl fit train close hand low bia mean model high level complex therefor abl fit train close model high varianc tend low bia vice versa therefor direct tradeoff choos correct balanc varianc bia particular dataset key avoid overfit
2232,['### Demonstration'],demonstr
2233,"['Now, I will demonstrate how the reducing the model complexity may help prevent a model from overfitting. Once again, I will use neural network models to demonstrate this idea. Specifically, I will build and train a very complex neural network model (with several neurons). Then, I will show how reducing the complexity of the model (by removing neurons) can help reduce overfitting in the model.']",demonstr reduc model complex may help prevent model overfit use neural network model demonstr idea specif build train complex neural network model sever neuron show reduc complex model remov neuron help reduc overfit model
2234,['### Build model #1'],build model 1
2235,"['First, we will build a model with two hidden layers (100 neurons each) and a single-neuron layer with a sigmoid activation at the end to output the probability.']",first build model two hidden layer 100 neuron singl neuron layer sigmoid activ end output probabl
2236,['### Visualize the model architecture'],visual model architectur
2237,['### Train the model and store training history'],train model store train histori
2238,['### Visualize the training and validation statistics for model #1'],visual train valid statist model 1
2239,['### Accuracy'],accuraci
2240,"['In the above plot, we can see that the training and validation accuracies for the 100-neuron model diverge towards the last few epochs. The training accuracy ends up significantly higher than the validation accuracy. This indicates that the model is not able to replicate its training performance when faced with the unseen validation data. This is a clear sign of overfitting.']",plot see train valid accuraci 100 neuron model diverg toward last epoch train accuraci end significantli higher valid accuraci indic model abl replic train perform face unseen valid data clear sign overfit
2241,"['We can observe the same fact from the bar plot above. The training and validation accuracies diverge towards the end, with the training accuracy ending up significantly higher than the validation accuracy. This is, once again, a clear indication of overfitting.']",observ fact bar plot train valid accuraci diverg toward end train accuraci end significantli higher valid accuraci clear indic overfit
2242,['### Loss'],loss
2243,"['In the above plot, we can see that the validation loss spikes clearly higher than the training loss towards the end of the training process. This indicates that the model is overfitting, as it is unable to replicate its training performance on the unseen validation data.']",plot see valid loss spike clearli higher train loss toward end train process indic model overfit unabl replic train perform unseen valid data
2244,"['We can once again observe the same insight from the above bar plot. Towards the last few epochs, the validation loss rises clearly higher above the training loss. Once, again, this indicates that the model is overfitting.']",observ insight bar plot toward last epoch valid loss rise clearli higher train loss indic model overfit
2245,"['In general, we can conclude that this 100-neuron model (model #1) is overfitting. Now, let us decrease the complexity of the model by decreasing the number of neurons in each hidden layer. This should help reduce the overfitting.']",gener conclud 100 neuron model model 1 overfit let u decreas complex model decreas number neuron hidden layer help reduc overfit
2246,['### Build model #2'],build model 2
2247,"['Now, we build another model. The architecture is the same as last time, but this time, there are 10 neurons in each hidden layer instead of 100.']",build anoth model architectur last time time 10 neuron hidden layer instead 100
2248,['### Visualize the model architecture'],visual model architectur
2249,['### Train the model and store training history'],train model store train histori
2250,['### Visualize the training and validation statistics for model #2'],visual train valid statist model 2
2251,['### Accuracy'],accuraci
2252,"['In the above plot, we can see that the training accuracy rises above the validation accuracy towards the end of the training process. But, the gap between the training and validation accuracies is very small compared to the 100-neuron model. This indicates that the model is training properly and is able to successfully avoid overfitting.']",plot see train accuraci rise valid accuraci toward end train process gap train valid accuraci small compar 100 neuron model indic model train properli abl success avoid overfit
2253,"['In the bar plot above, we can observe the same insight. The training accuracy ends up just above the validation accuracy at the end, but the gap between the two accuracies is significantly smaller than it was in the case of the 100-neuron model.']",bar plot observ insight train accuraci end valid accuraci end gap two accuraci significantli smaller case 100 neuron model
2254,['### Loss'],loss
2255,"['In the above plot, we can see that the training loss ends up below the validation loss towards the end of the training process. But, the gap between the two losses is much smaller compared to the 100-neuron model. This shows that the model is learning properly. It is not overfitting.']",plot see train loss end valid loss toward end train process gap two loss much smaller compar 100 neuron model show model learn properli overfit
2256,"['We can observe the same insight from the bar plot above. The validation loss ends up just above the training loss at the end of the training process, but the gap is much smaller compared to the 100-neuron model. This once again indicates that the model is not overfitting.']",observ insight bar plot valid loss end train loss end train process gap much smaller compar 100 neuron model indic model overfit
2257,['### Make predictions on training and validation data from the models '],make predict train valid data model
2258,['### Visualize training and validation accuracy for both the models'],visual train valid accuraci model
2259,"['We can see from the above plot that the training accuracy ends up higher than the validation accuracy in both cases. But, in the case of the second model, the gap is much smaller. Thus, we can conclude that we have been able to reduce overfitting by reducing the complexity of the model.']",see plot train accuraci end higher valid accuraci case case second model gap much smaller thu conclud abl reduc overfit reduc complex model
2260,['## Ensembling'],ensembl
2261,"['Ensembling is a very useful and common method used to reduce overfitting. In ensembling, the outputs from several models are combined (most commonly by averaging) to form one prediction vector. This final prediction usually has a greater accuracy than the other individual prediction vectors. This is because, when the predictions from different models are combined by averaging, the errors in the different prediction vectors are partially ""canceled out"" or reduced in magnitude. But, note that **this works only when the correlation between the different prediction vectors is considerably low, otherwise the ensemble would score similarly to the individual models**.\n', '\n', 'This implies that the **variety in the models is very important**. This means that one must ensemble models which are very different from each other in terms of architecture, hyperparameters, or algorithm in order to achieve maximum benefits from ensembling. For example, it might be a better idea to ensemble a LightGBM model with a Neural Network model instead of ensembling two LightGBM models. When more diverse models are selected, the diversity in predictions is also greater, and therefore, there is a higher chance of the ensemble to effectively reduce the errors in the predictions by ""canceling them out"".']",ensembl use common method use reduc overfit ensembl output sever model combin commonli averag form one predict vector final predict usual greater accuraci individu predict vector predict differ model combin averag error differ predict vector partial cancel reduc magnitud note work correl differ predict vector consider low otherwis ensembl would score similarli individu model impli varieti model import mean one must ensembl model differ term architectur hyperparamet algorithm order achiev maximum benefit ensembl exampl might better idea ensembl lightgbm model neural network model instead ensembl two lightgbm model diver model select diver predict also greater therefor higher chanc ensembl effect reduc error predict cancel
2262,['### A video explaining ensembling'],video explain ensembl
2263,['Here is another video by Udacity explaining what ensembling is:'],anoth video udac explain ensembl
2264,['### Demonstration'],demonstr
2265,"['Now, I will demonstrate how ensembling can be used to help a model generalize better and avoid overfitting. I will build and train two separate neural network models, and then show how ensembling them can increase the cross validation score.']",demonstr ensembl use help model gener better avoid overfit build train two separ neural network model show ensembl increas cross valid score
2266,['### Build model #1'],build model 1
2267,"['First, we will build a model with two hidden layers (20 neurons each) and a single-neuron layer with a sigmoid activation at the end to output the probability.']",first build model two hidden layer 20 neuron singl neuron layer sigmoid activ end output probabl
2268,['### Visualize model architecture'],visual model architectur
2269,['### Train the model and store training history'],train model store train histori
2270,['### Visualize the training and validation statistics for model #1'],visual train valid statist model 1
2271,['### Accuracy'],accuraci
2272,"['In the above plot, we can see that the training and validation accuracies for the 10-neuron model slightly diverge towards the last few epochs. The training accuracy ends up slightly higher than the validation accuracy. This indicates that the model is overfitting, but not as much as the previous 100-neuron model.']",plot see train valid accuraci 10 neuron model slightli diverg toward last epoch train accuraci end slightli higher valid accuraci indic model overfit much previou 100 neuron model
2273,"['We can see the same insight from the above bar plot. The training accuracy ends up slightly higher than the validation accuracy towards the last few epochs. This indicates that the model is overfitting, but only slightly.']",see insight bar plot train accuraci end slightli higher valid accuraci toward last epoch indic model overfit slightli
2274,['### Loss'],loss
2275,"['In the above plot, we can see that the validation loss ends up slightly higher than the training loss towards the end. This once again shows that the model is overfitting, but not very heavily.']",plot see valid loss end slightli higher train loss toward end show model overfit heavili
2276,"['We can see the same insight from the above bar plot. The training accuracy ends up slightly higher than the validation accuracy towards the last few epochs. This indicates that the model is overfitting, but only slightly.']",see insight bar plot train accuraci end slightli higher valid accuraci toward last epoch indic model overfit slightli
2277,"['We can conclude that this model is overfitting only slightly. So, now I will build another model with 25 neurons instead of 10 neurons in each layer.']",conclud model overfit slightli build anoth model 25 neuron instead 10 neuron layer
2278,['### Build model #2'],build model 2
2279,"['Now, we will build a new model with the same architecture, but with 25 (instead of 20) neurons per hidden layer, and a single-neuron layer with a sigmoid activation at the end to output the probability.']",build new model architectur 25 instead 20 neuron per hidden layer singl neuron layer sigmoid activ end output probabl
2280,['### Visualize the model architecture'],visual model architectur
2281,['### Train the model and store training history'],train model store train histori
2282,['### Visualize the training and validation statistics for model #2'],visual train valid statist model 2
2283,['### Accuracy'],accuraci
2284,"['In the above plot, we can see that the training and validation accuracies for the 25-neuron model are similar towards the last few epochs. The training accuracy ends up only slightly higher than the validation accuracy. This indicates that the model is able to replicate its training performance when faced with the unseen validation data. This is not overfitting.']",plot see train valid accuraci 25 neuron model similar toward last epoch train accuraci end slightli higher valid accuraci indic model abl replic train perform face unseen valid data overfit
2285,"['We can observe the same fact from the bar plot above. The training and validation accuracies diverge by a very small margin, with the training accuracy ending up only slightly higher than the validation accuracy. This is, once again, an indication of no overfitting.']",observ fact bar plot train valid accuraci diverg small margin train accuraci end slightli higher valid accuraci indic overfit
2286,['### Loss'],loss
2287,"['In the above plot, we can see that the validation loss ends up just above the training loss, but since the gap is very small, we can say that the model is not overfitting.']",plot see valid loss end train loss sinc gap small say model overfit
2288,"['We can once again observe the same insight from the above bar plot. Towards the last few epochs, the validation loss ends up near the training loss. Once, again, this indicates that the model is not overfitting.']",observ insight bar plot toward last epoch valid loss end near train loss indic model overfit
2289,"['In general, we can conclude that this 25-neuron model (model #2) is now overfitting. Now, let us ensemble the two models and see what happens.']",gener conclud 25 neuron model model 2 overfit let u ensembl two model see happen
2290,['### Ensembling the two models'],ensembl two model
2291,"['Now, I will ensemble the two models by averaging their predictions on the validation data.']",ensembl two model averag predict valid data
2292,['I give a higher weightage (75 %) to the first model than the second model (25 %) because the second model has a better CV score than the first model. **The model weightages in the ensemble can be decided based on the individual cross validation scores**.'],give higher weightag 75 first model second model 25 second model better cv score first model model weightag ensembl decid base individu cross valid score
2293,"['### Check the accuracy values for model #1, model #2, and their ensemble']",check accuraci valu model 1 model 2 ensembl
2294,"[""The accuracy of models #1 and #2 are both very high. Therefore, the ensemble's accuracy was higher than the accuracies of the two models. Therefore, **ensembling is effective only when several models with strong generalization are combined together**. Even one weak model can bring down the accuracy of the ensemble by a lot. ""]",accuraci model 1 2 high therefor ensembl accuraci higher accuraci two model therefor ensembl effect sever model strong gener combin togeth even one weak model bring accuraci ensembl lot
2295,"['### Visualize the accuracy for model #1, model #2, and their ensemble']",visual accuraci model 1 model 2 ensembl
2296,['### Difference of the accuracies of the models above 96.9 %'],differ accuraci model 96 9
2297,['We can once again see from the above plot that the ensemble accuracy is greater than the individual accuracies of model #1 and model #2.'],see plot ensembl accuraci greater individu accuraci model 1 model 2
2298,['### Resources for understading ensembling'],resourc understad ensembl
2299,"['* [A Comprehensive Guide to Ensemble Learning (with Python codes)](https://www.analyticsvidhya.com/blog/2018/06/comprehensive-guide-for-ensemble-models/) ~ by Aishwarya Singh\n', '* [Ensemble Learning Methods for Deep Learning Neural Networks](https://machinelearningmastery.com/ensemble-methods-for-deep-learning-neural-networks/) ~ by Machine Learning Mastery']",comprehens guid ensembl learn python code http www analyticsvidhya com blog 2018 06 comprehens guid ensembl model aishwarya singh ensembl learn method deep learn neural network http machinelearningmasteri com ensembl method deep learn neural network machin learn masteri
2300,['## Regularization'],regular
2301,"['Regularization is another great way to prevent models from overfitting. **Regularization is a group of methods aimed at improving the generalization of models**. Basically, regularization methods ensure that the model maintains the same performance level on the validation data (and testing data) as it does on the training data.\n', '\n', 'Regularization can take on many different types and forms based on the data and model under consideration. For example, a method called [Dropout](https://medium.com/@amarbudhiraja/https-medium-com-amarbudhiraja-learning-less-to-learn-better-dropout-in-deep-machine-learning-74334da4bfc5) can be used to improve the generalization of neural networks. This is a form of regularization. Similarly, one can also use the [L1 and L2 methods](https://towardsdatascience.com/l1-and-l2-regularization-methods-ce25e7fc831c) to reduce overfitting in a neural network. Once, this is a form of regularization.\n', '\n', 'Dropout is a regularization method that approximates training a large number of neural networks with different architectures in parallel.\n', '\n', 'During training, some number of layer outputs are randomly ignored or “dropped out.” This has the effect of making the layer look-like and be treated-like a layer with a different number of nodes and connectivity to the prior layer. In effect, each update to a layer during training is performed with a different “view” of the configured layer.\n', '\n', 'The probablity of dropping a random neuron is called the dropout rate. For the demonstration below, I will use a dropout rate 0f 0.2.']",regular anoth great way prevent model overfit regular group method aim improv gener model basic regular method ensur model maintain perform level valid data test data train data regular take mani differ type form base data model consider exampl method call dropout http medium com amarbudhiraja http medium com amarbudhiraja learn le learn better dropout deep machin learn 74334da4bfc5 use improv gener neural network form regular similarli one also use l1 l2 method http towardsdatasci com l1 l2 regular method ce25e7fc831c reduc overfit neural network form regular dropout regular method approxim train larg number neural network differ architectur parallel train number layer output randomli ignor drop effect make layer look like treat like layer differ number node connect prior layer effect updat layer train perform differ view configur layer probabl drop random neuron call dropout rate demonstr use dropout rate 0f 0 2
2302,"['<center><img src=""https://i.imgur.com/qFmZI6M.png"" width=""600px""></center>']",center img src http imgur com qfmzi6m png width 600px center
2303,['### A video explaining regularization'],video explain regular
2304,['Here is a video of Andrew Ng explaining the idea of regularization and how it can be used to combat overfitting:'],video andrew ng explain idea regular use combat overfit
2305,['### Demonstration'],demonstr
2306,"['Regularization can be done in many ways, but for this kernel, I will demonstrating how **dropout** can be used to regularize neural networks.']",regular done mani way kernel demonstr dropout use regular neural network
2307,['### Build model #1 (without dropout)'],build model 1 without dropout
2308,"['First, we will build a model with two hidden layers (200 neurons each) and a single-neuron layer with a sigmoid activation at the end to output the probability.']",first build model two hidden layer 200 neuron singl neuron layer sigmoid activ end output probabl
2309,['### Visualize model architecture'],visual model architectur
2310,['### Train the model and store training history'],train model store train histori
2311,['### Visualize the training and validation statistics for model #1'],visual train valid statist model 1
2312,['### Accuracy'],accuraci
2313,"['In the above plot, we can see that the training and validation accuracies for the 200-neuron model diverge towards the last few epochs. The training accuracy ends up significantly higher than the validation accuracy. This indicates that the model is not able to replicate its training performance when faced with the unseen validation data. This is a clear sign of heavy overfitting.']",plot see train valid accuraci 200 neuron model diverg toward last epoch train accuraci end significantli higher valid accuraci indic model abl replic train perform face unseen valid data clear sign heavi overfit
2314,"['We can once again observe the same insight from the above bar plot. Towards the last few epochs, the validation loss rises significantly higher above the training loss. Once, again, this indicates that the model is heavily overfitting.']",observ insight bar plot toward last epoch valid loss rise significantli higher train loss indic model heavili overfit
2315,['### Loss'],loss
2316,"['In the above plot, we can see that the validation loss spikes clearly higher than the training loss towards the end of the training process. This indicates that the model is overfitting, as it is unable to replicate its training performance on the unseen validation data. This time, the overfitting seems to be significant.']",plot see valid loss spike clearli higher train loss toward end train process indic model overfit unabl replic train perform unseen valid data time overfit seem signific
2317,"['We can once again observe the same insight from the above bar plot. Towards the last few epochs, the validation loss rises clearly higher above the training loss. Once, again, this indicates that the model is overfitting.']",observ insight bar plot toward last epoch valid loss rise clearli higher train loss indic model overfit
2318,['### Build model #2 (with dropout)'],build model 2 dropout
2319,"['Now, we will build a new model with the same architecture, **but with a dropout layer after each hidden layer**, and a single-neuron layer with a sigmoid activation at the end to output the probability.']",build new model architectur dropout layer hidden layer singl neuron layer sigmoid activ end output probabl
2320,['### Visualize the model architecture'],visual model architectur
2321,['### Train the model and store training history'],train model store train histori
2322,['### Visualize the training and validation statistics for model #1'],visual train valid statist model 1
2323,['### Accuracy'],accuraci
2324,"['In the above plot, we can see that the validation accuracy rises above the training accuracy towards the end of the training process. But, the gap between the training and validation accuracies is very small. This indicates that the model is training properly and is able to successfully avoid overfitting.']",plot see valid accuraci rise train accuraci toward end train process gap train valid accuraci small indic model train properli abl success avoid overfit
2325,"['In the bar plot above, we can observe the same insight. The validation accuracy ends up just above the training accuracy at the end, but the gap between the two accuracies is significantly smaller than it was in the case of the no-dropout model.']",bar plot observ insight valid accuraci end train accuraci end gap two accuraci significantli smaller case dropout model
2326,['### Loss'],loss
2327,"['In the above plot, we can see that the validation loss ends up below the training loss towards the end of the training process. But, the gap between the two losses is much smaller compared to the no-dropout model. This shows that the model is learning properly. It is not overfitting.']",plot see valid loss end train loss toward end train process gap two loss much smaller compar dropout model show model learn properli overfit
2328,"['We can observe the same insight from the bar plot above. The validation loss ends up just below the training loss at the end of the training process, but the gap is much smaller compared to the no-dropout model. This once again indicates that the model is not overfitting.']",observ insight bar plot valid loss end train loss end train process gap much smaller compar dropout model indic model overfit
2329,"['We can easily conclude that adding dropout to the neural network acted as a regularizer. It helped reduce the gap between training and validation scores. Thus, adding dropout helped successfully remove overfitting from the model.']",easili conclud ad dropout neural network act regular help reduc gap train valid score thu ad dropout help success remov overfit model
2330,['### Make predictions on training and validation data from the models '],make predict train valid data model
2331,['### Visualize the training and validation accuracy for both the models'],visual train valid accuraci model
2332,"['We can see from the above plot that the training accuracy ends up higher than the validation accuracy in both cases. But, in the case of the second model, the gap is much smaller. Thus, we can conclude that we have been able to reduce overfitting by adding dropout to the model.']",see plot train accuraci end higher valid accuraci case case second model gap much smaller thu conclud abl reduc overfit ad dropout model
2333,['### Resources for understanding regularization'],resourc understand regular
